Rank,Release,Genre,Budget,Running Time,Gross,Theaters,Total Gross,Release Date,Distributor,Estimated
1,Guardians of the Galaxy,-,-,-,"$332,934,626",4088,"$333,176,600",Aug 1,Walt Disney Studios Motion Pictures,False
2,The Hunger Games: Mockingjay - Part 1,-,-,-,"$313,282,914",4151,"$337,135,885",Nov 21,Lionsgate,False
3,Captain America: The Winter Soldier,-,-,-,"$259,766,572",3938,"$259,766,572",Apr 4,Walt Disney Studios Motion Pictures,False
4,The Lego Movie,-,-,-,"$257,760,692",3890,"$257,760,692",Feb 7,Warner Bros.,False
5,Transformers: Age of Extinction,-,-,-,"$245,439,076",4233,"$245,439,076",Jun 27,Paramount Pictures,False
6,Maleficent,-,-,-,"$241,410,378",3948,"$241,410,378",May 30,Walt Disney Studios Motion Pictures,False
7,X-Men: Days of Future Past,-,-,-,"$233,921,534",4001,"$233,921,534",May 23,Twentieth Century Fox,False
8,Dawn of the Planet of the Apes,-,-,-,"$208,545,589",3969,"$208,545,589",Jul 11,Twentieth Century Fox,False
9,Big Hero 6,-,-,-,"$204,576,654",3773,"$222,527,828",Nov 7,Walt Disney Studios Motion Pictures,False
10,The Amazing Spider-Man 2,-,-,-,"$202,853,933",4324,"$202,853,933",May 2,Sony Pictures Releasing,False
11,Godzilla,-,-,-,"$200,676,069",3952,"$200,676,069",May 16,Warner Bros.,False
12,22 Jump Street,-,-,-,"$191,719,337",3426,"$191,719,337",Jun 13,Sony Pictures Releasing,False
13,Teenage Mutant Ninja Turtles,-,-,-,"$191,204,754",3980,"$191,204,754",Aug 8,Paramount Pictures,False
14,The Hobbit: The Battle of the Five Armies,-,-,-,"$189,549,326",3875,"$255,119,788",Dec 17,Warner Bros.,False
15,Interstellar,-,-,-,"$179,387,895",3561,"$188,020,017",Nov 5,Paramount Pictures,False
16,How to Train Your Dragon 2,-,-,-,"$177,002,924",4268,"$177,002,924",Jun 13,Twentieth Century Fox,False
17,Gone Girl,-,-,-,"$166,197,583",3284,"$167,767,189",Oct 3,Twentieth Century Fox,False
18,Divergent,-,-,-,"$150,947,895",3936,"$150,947,895",Mar 21,Lionsgate,False
19,Neighbors,-,-,-,"$150,157,400",3311,"$150,157,400",May 9,Universal Pictures,False
20,Frozen,-,-,-,"$137,645,361",3742,"$400,738,009",Nov 22,Walt Disney Studios Motion Pictures,False
21,Ride Along,-,-,-,"$134,938,200",2867,"$134,938,200",Jan 17,Universal Pictures,False
22,Rio 2,-,-,-,"$131,538,435",3975,"$131,538,435",Apr 11,Twentieth Century Fox,False
23,Lucy,-,-,-,"$126,663,600",3202,"$126,663,600",Jul 25,Universal Pictures,False
24,Lone Survivor,-,-,-,"$124,907,273",3285,"$125,095,601",Dec 25,Universal Pictures,False
25,The Fault in Our Stars,-,-,-,"$124,872,350",3340,"$124,872,350",Jun 6,Twentieth Century Fox,False
26,Mr. Peabody & Sherman,-,-,-,"$111,506,430",3951,"$111,506,430",Mar 7,Twentieth Century Fox,False
27,300: Rise of an Empire,-,-,-,"$106,580,051",3490,"$106,580,051",Mar 7,Warner Bros.,False
28,The Maze Runner,-,-,-,"$102,104,191",3638,"$102,427,862",Sep 19,Twentieth Century Fox,False
29,Noah,-,-,-,"$101,200,044",3571,"$101,200,044",Mar 28,Paramount Pictures,False
30,The Equalizer,-,-,-,"$100,915,604",3236,"$101,530,738",Sep 26,Sony Pictures Releasing,False
31,Edge of Tomorrow,-,-,-,"$100,206,256",3505,"$100,206,256",Jun 6,Warner Bros.,False
32,Non-Stop,-,-,-,"$92,168,600",3183,"$92,168,600",Feb 28,Universal Pictures,False
33,Heaven Is for Real,-,-,-,"$91,443,253",3048,"$91,443,253",Apr 16,TriStar Pictures,False
34,Fury,-,-,-,"$85,244,339",3313,"$85,817,906",Oct 17,Sony Pictures Releasing,False
35,Dumb and Dumber To,-,-,-,"$84,966,865",3188,"$86,208,010",Nov 14,Universal Pictures,False
36,Tammy,-,-,-,"$84,525,432",3465,"$84,525,432",Jul 2,Warner Bros.,False
37,Annabelle,-,-,-,"$84,273,813",3215,"$84,273,813",Oct 3,Warner Bros.,False
38,The Other Woman,-,-,-,"$83,911,193",3306,"$83,911,193",Apr 25,Twentieth Century Fox,False
39,American Hustle,-,-,-,"$82,599,283",2629,"$150,117,807",Dec 13,Sony Pictures Releasing,False
40,Let's Be Cops,-,-,-,"$82,390,774",3140,"$82,390,774",Aug 13,Twentieth Century Fox,False
41,The Monuments Men,-,-,-,"$78,031,620",3083,"$78,031,620",Feb 7,Sony Pictures Releasing,False
42,The Wolf of Wall Street,-,-,-,"$75,451,759",2557,"$116,900,694",Dec 25,Paramount Pictures,False
43,Penguins of Madagascar,-,-,-,"$74,028,222",3775,"$83,850,911",Nov 26,Twentieth Century Fox,False
44,Hercules,-,-,-,"$72,688,614",3595,"$72,688,614",Jul 25,Paramount Pictures,False
45,The Purge: Anarchy,-,-,-,"$71,962,800",2856,"$71,962,800",Jul 18,Universal Pictures,False
46,Night at the Museum: Secret of the Tomb,-,-,-,"$69,354,582",3914,"$113,746,621",Dec 19,Twentieth Century Fox,False
47,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",-,-,-,"$65,641,801",3117,"$66,954,149",Oct 10,Walt Disney Studios Motion Pictures,False
48,Think Like a Man Too,-,-,-,"$65,182,182",2225,"$65,182,182",Jun 20,Screen Gems,False
49,The Nut Job,-,-,-,"$64,251,541",3472,"$64,251,541",Jan 17,Open Road Films (II),False
50,Into the Woods,-,-,-,"$64,062,104",2833,"$128,002,372",Dec 25,Walt Disney Studios Motion Pictures,False
51,Unbroken,-,-,-,"$62,528,610",3301,"$115,637,895",Dec 25,Universal Pictures,False
52,God's Not Dead,-,-,-,"$60,755,732",1860,"$60,755,732",Mar 21,Freestyle Releasing,False
53,Son of God,-,-,-,"$59,700,064",3271,"$59,700,064",Feb 28,Twentieth Century Fox,False
54,Planes: Fire & Rescue,-,-,-,"$59,165,787",3839,"$59,165,787",Jul 18,Walt Disney Studios Motion Pictures,False
55,The Grand Budapest Hotel,-,-,-,"$59,076,019",1467,"$59,301,324",Mar 7,Fox Searchlight Pictures,False
56,RoboCop,-,-,-,"$58,607,007",3372,"$58,607,007",Feb 12,Sony Pictures Releasing,False
57,Annie,-,-,-,"$56,951,920",3197,"$85,911,262",Dec 19,Sony Pictures Releasing,False
58,The Hobbit: The Desolation of Smaug,-,-,-,"$56,824,777",3928,"$258,366,855",Dec 13,Warner Bros.,False
59,Dracula Untold,-,-,-,"$55,991,880",2900,"$56,280,355",Oct 10,Universal Pictures,False
60,Exodus: Gods and Kings,-,-,-,"$55,727,340",3503,"$65,014,513",Dec 12,Twentieth Century Fox,False
61,The Hundred-Foot Journey,-,-,-,"$54,240,821",2167,"$54,240,821",Aug 8,Walt Disney Studios Motion Pictures,False
62,No Good Deed,-,-,-,"$52,651,326",2175,"$52,543,632",Sep 12,Screen Gems,False
63,Horrible Bosses 2,-,-,-,"$51,745,425",3400,"$54,445,357",Nov 26,Warner Bros.,False
64,Muppets Most Wanted,-,-,-,"$51,183,113",3194,"$51,183,113",Mar 21,Walt Disney Studios Motion Pictures,False
65,Ouija,-,-,-,"$50,856,010",2899,"$50,856,010",Oct 24,Universal Pictures,False
66,Jack Ryan: Shadow Recruit,-,-,-,"$50,577,412",3387,"$50,577,412",Jan 17,Paramount Pictures,False
67,The Boxtrolls,-,-,-,"$50,503,155",3464,"$50,837,305",Sep 26,Focus Features,False
68,If I Stay,-,-,-,"$50,474,843",3157,"$50,474,843",Aug 22,Warner Bros.,False
69,The Book of Life,-,-,-,"$49,323,100",3113,"$50,151,543",Oct 17,Twentieth Century Fox,False
70,About Last Night,-,-,-,"$48,637,684",2253,"$48,637,684",Feb 14,Screen Gems,False
71,Into the Storm,-,-,-,"$47,602,194",3434,"$47,602,194",Aug 8,Warner Bros.,False
72,Jersey Boys,-,-,-,"$47,047,013",2905,"$47,047,013",Jun 20,Warner Bros.,False
73,The Judge,-,-,-,"$47,003,241",3003,"$47,119,388",Oct 10,Warner Bros.,False
74,Blended,-,-,-,"$46,294,610",3555,"$46,294,610",May 23,Warner Bros.,False
75,The Giver,-,-,-,"$45,090,374",3003,"$45,090,374",Aug 15,The Weinstein Company,False
76,Need for Speed,-,-,-,"$43,577,636",3115,"$43,577,636",Mar 14,Walt Disney Studios Motion Pictures,False
77,A Million Ways to Die in the West,-,-,-,"$43,139,300",3160,"$43,139,300",May 30,Universal Pictures,False
78,St. Vincent,-,-,-,"$42,845,277",2552,"$44,137,712",Oct 10,The Weinstein Company,False
79,John Wick,-,-,-,"$42,820,432",2589,"$43,037,835",Oct 24,Lionsgate,False
80,Dolphin Tale 2,-,-,-,"$42,024,533",3656,"$42,024,533",Sep 12,Warner Bros.,False
81,The Expendables 3,-,-,-,"$39,322,544",3221,"$39,322,544",Aug 15,Lionsgate,False
82,Saving Mr. Banks,-,-,-,"$39,214,111",2671,"$83,301,580",Dec 13,Walt Disney Studios Motion Pictures,False
83,Earth to Echo,-,-,-,"$38,934,842",3230,"$38,934,842",Jul 2,Relativity Media,False
84,Sex Tape,-,-,-,"$38,543,473",3062,"$38,543,473",Jul 18,Sony Pictures Releasing,False
85,August: Osage County,-,-,-,"$37,484,719",2411,"$37,738,810",Dec 27,The Weinstein Company,False
86,Million Dollar Arm,-,-,-,"$36,457,627",3019,"$36,457,627",May 16,Walt Disney Studios Motion Pictures,False
87,Anchorman 2: The Legend Continues,-,-,-,"$34,588,600",3507,"$125,168,368",Dec 18,Paramount Pictures,False
88,This Is Where I Leave You,-,-,-,"$34,296,320",2868,"$34,296,320",Sep 19,Warner Bros.,False
89,Paranormal Activity: The Marked Ones,-,-,-,"$32,462,372",2883,"$32,462,372",Jan 3,Paramount Pictures,False
90,Nightcrawler,-,-,-,"$31,825,147",2766,"$32,381,217",Oct 31,Open Road Films (II),False
91,Chef,-,-,-,"$31,424,003",1298,"$31,424,003",May 9,Open Road Films (II),False
92,Get on Up,-,-,-,"$30,703,100",2469,"$30,703,100",Aug 1,Universal Pictures,False
93,3 Days to Kill,-,-,-,"$30,697,999",2872,"$30,697,999",Feb 21,Relativity Media,False
94,Deliver Us from Evil,-,-,-,"$30,577,122",3049,"$30,577,122",Jul 2,Screen Gems,False
95,When the Game Stands Tall,-,-,-,"$30,127,963",2766,"$30,127,963",Aug 22,TriStar Pictures,False
96,The Hunger Games: Catching Fire,-,-,-,"$29,141,342",4163,"$424,668,047",Nov 22,Lionsgate,False
97,Draft Day,-,-,-,"$28,842,237",2781,"$28,842,237",Apr 11,Lionsgate,False
98,Oculus,-,-,-,"$27,695,246",2648,"$27,695,246",Apr 11,Relativity Media,False
99,The Secret Life of Walter Mitty,-,-,-,"$26,752,507",2922,"$58,236,838",Dec 25,Twentieth Century Fox,False
100,The Best of Me,-,-,-,"$26,703,582",2936,"$26,766,213",Oct 17,Relativity Media,False
101,A Walk Among the Tombstones,-,-,-,"$26,307,600",2714,"$26,307,600",Sep 19,Universal Pictures,False
102,That Awkward Moment,-,-,-,"$26,068,955",2809,"$26,068,955",Jan 31,Focus Features,False
103,The November Man,-,-,-,"$25,018,119",2776,"$25,018,119",Aug 27,Relativity Media,False
104,Birdman or (The Unexpected Virtue of Ignorance),-,-,-,"$24,273,045",1213,"$42,340,598",Oct 17,Fox Searchlight Pictures,False
105,Boyhood,-,-,-,"$24,242,779",775,"$25,352,281",Jul 11,IFC Films,False
106,Her,-,-,-,"$23,761,722",1729,"$25,568,251",Dec 18,Warner Bros.,False
107,Endless Love,-,-,-,"$23,438,250",2896,"$23,438,250",Feb 14,Universal Pictures,False
108,The Theory of Everything,-,-,-,"$23,233,800",1220,"$35,893,537",Nov 7,Focus Features,False
109,Pompeii,-,-,-,"$23,219,748",2658,"$23,219,748",Feb 21,TriStar Pictures,False
110,Transcendence,-,-,-,"$23,022,309",3455,"$23,022,309",Apr 18,Warner Bros.,False
111,"As Above, So Below",-,-,-,"$21,321,100",2650,"$21,321,100",Aug 29,Universal Pictures,False
112,Top Five,-,-,-,"$20,407,608",1426,"$25,317,471",Dec 12,Paramount Pictures,False
113,Philomena,-,-,-,"$20,397,945",1225,"$37,709,979",Nov 22,The Weinstein Company,False
114,Brick Mansions,-,-,-,"$20,396,829",2647,"$20,396,829",Apr 25,Relativity Media,False
115,The Imitation Game,-,-,-,"$19,936,519",2402,"$91,125,683",Nov 28,The Weinstein Company,False
116,Wild,-,-,-,"$19,742,647",1361,"$37,880,356",Dec 3,Fox Searchlight Pictures,False
117,Gravity,-,-,-,"$19,231,476",3820,"$274,092,705",Oct 4,Warner Bros.,False
118,"I, Frankenstein",-,-,-,"$19,075,290",2753,"$19,075,290",Jan 24,Lionsgate,False
119,The Gambler,-,-,-,"$18,880,856",2494,"$33,680,992",Dec 25,Paramount Pictures,False
120,The Legend of Hercules,-,-,-,"$18,848,538",2104,"$18,848,538",Jan 10,Lionsgate,False
121,12 Years a Slave,-,-,-,"$18,720,622",1474,"$56,671,993",Oct 18,Fox Searchlight Pictures,False
122,Bears,-,-,-,"$17,780,194",1790,"$17,780,194",Apr 18,Walt Disney Studios Motion Pictures,False
123,Addicted,-,-,-,"$17,390,770",1037,"$17,390,770",Oct 10,Lionsgate,False
124,A Haunted House 2,-,-,-,"$17,329,486",2310,"$17,329,486",Apr 18,Open Road Films (II),False
125,A Most Wanted Man,-,-,-,"$17,237,855",801,"$17,237,855",Jul 25,Roadside Attractions,False
126,Begin Again,-,-,-,"$16,170,632",1302,"$16,170,632",Jun 27,The Weinstein Company,False
127,The Single Moms Club,-,-,-,"$15,973,881",1896,"$15,973,881",Mar 14,Lionsgate,False
128,Devil's Due,-,-,-,"$15,821,461",2544,"$15,821,461",Jan 17,Twentieth Century Fox,False
129,And So It Goes,-,-,-,"$15,160,801",1816,"$15,160,801",Jul 25,Clarius Entertainment,False
130,Step Up All In,-,-,-,"$14,904,384",2072,"$14,904,384",Aug 8,Lionsgate,False
131,Beyond the Lights,-,-,-,"$14,537,635",1789,"$14,618,727",Nov 14,Relativity Media,False
132,47 Ronin,-,-,-,"$14,509,700",2690,"$38,362,475",Dec 25,Universal Pictures,False
133,America: Imagine the World Without Her,-,-,-,"$14,444,502",1105,"$14,444,502",Jun 27,Lionsgate,False
134,Left Behind,-,-,-,"$14,019,924",1887,"$14,019,924",Oct 3,Freestyle Releasing,False
135,Sin City: A Dame to Kill For,-,-,-,"$13,757,804",2894,"$13,757,804",Aug 22,-,False
136,Grudge Match,-,-,-,"$13,567,034",2856,"$29,807,260",Dec 25,Warner Bros.,False
137,Labor Day,-,-,-,"$13,371,528",2584,"$13,371,528",Jan 31,Paramount Pictures,False
138,Winter's Tale,-,-,-,"$12,600,231",2965,"$12,600,231",Feb 14,Warner Bros.,False
139,Walking with Dinosaurs 3D,-,-,-,"$11,730,354",3243,"$36,076,121",Dec 20,Twentieth Century Fox,False
140,Nebraska,-,-,-,"$11,596,814",968,"$17,654,912",Nov 15,Paramount Pictures,False
141,Dallas Buyers Club,-,-,-,"$11,451,072",1110,"$27,298,285",Nov 1,Focus Features,False
142,Belle,-,-,-,"$10,726,630",525,"$10,726,630",May 2,Fox Searchlight Pictures,False
